"","model","elpd_diff","se_diff","signal_to_noise"
"1","m2_simpson",0,0,NA
"2","m3_simpson",-0.233559330551921,1.98507579970165,0.117657638356694
"3","m4_simpson",-2.00381363103405,2.63468388260374,0.760551823414114
"4","m_simpson",-3.37743064504039,2.76012109386975,1.22365306817215
