DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_GARONGGONG,TIME_1STGARONGGONG,T1_GARONGGONG,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
30/05/2024,LANTANGPEO,D,4,D4,2,1,15:56,17:56,-5.468826,119.300459,40,38,30_05_2024_1556_C1_D2_LTPD4,3,2:00,B2,SUNNY,0.48,I,,0:26:13,0:35:42,0:10:55,,,,1:12:50,0:05:22,0:05:55,1:01:33,90,60,,3,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:06:59,0:01:37,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
30/05/2024,LANTANGPEO,D,5,D5,3,14,16:03,17:49,-5.468265,119.302079,30,25,30_05_2024_1603_C14_D3_LTPD5,3,1:46,B18,SUNNY,0.48,I,,0:25:43,0:26:56,0:26:28,,,,1:19:07,0:06:57,0:16:29,0:55:41,80,60,,2,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
30/05/2024,LANTANGPEO,L,5,L5,4,5,16:06,17:50,-5.468251,119.301957,40,20,30_05_2024_1606_C5_D4_LTPL5,3,1:44,B19,SUNNY,0.48,I,,0:38:07,0:40:02,0:02:52,,,,1:21:01,0:06:16,0:12:52,1:01:53,100,30,,4,2,,,NA,,,NA,4,0:16:46,0:10:30,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,4,0:06:22,0:00:06,
30/05/2024,LANTANGPEO,L,4,L4,5,12,16:20,17:44,-5.466377,119.30229,41,35,30_05_2024_1620_C12_D5_LTPL4,3,1:24,B25,SUNNY,0.53,I,,0:31:19,0:35:07,0:18:19,,,,1:24:45,0:05:49,0:18:19,1:00:37,100,100,,5,4,,,NA,2,0:28:47,0:22:58,2,0:58:09,0:52:20,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:06:18,0:00:29,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:07:01,0:01:12,
30/05/2024,LANTANGPEO,D,6,D6,6,CNEW,16:26,17:47,-5.467135,119.302812,30,28,30_05_2024_1626_CNEW_D6_LTPD6,4,1:21,B3,SUNNY,0.53,I,,0:24:17,0:21:24,0:24:43,0:29:10,,,1:39:34,0:05:29,0:29:10,1:04:55,90,70,,2,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
31/05/2024,LANTANGPEO,E,6,E6,1,12,7:25,9:11,-5.463902,119.28802,43,42,01_06_2024_0725_C12_D1_LTPE6,3,1:46,B21,SUNNY,0.6,I,REAL DATE 01/06/2024. CHANGED FOR ANALYSIS,0:25:59,0:25:43,0:11:56,,,,1:03:38,0:05:31,,0:58:07,100,100,,4,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:05:33,0:00:02,,,NA,,,NA,2,0:35:57,0:30:26,,,NA,,,NA,,,NA,2,0:08:54,0:03:23,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
31/05/2024,LANTANGPEO,E,4,E4,2,11,7:28,9:09,-5.463951,119.287291,70,70,01_06_2024_0728_C11_D2_LTPE4,4,1:41,BN2,SUNNY,0.6,I,REAL DATE 01/06/2024. CHANGED FOR ANALYSIS,0:25:43,0:25:43,0:25:43,0:09:44,,,1:26:53,0:05:30,0:20:27,1:00:56,100,100,,3,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,7,0:24:33,0:19:03,,,NA,,,NA,2,0:33:41,0:28:11,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
31/05/2024,LANTANGPEO,E,5,E5,3,CNEW,7:42,8:57,-5.462089,119.286874,58,52,01_06_2024_0742_CNEW_D3_LTPE5,4,1:15,B14,SUNNY,0.6,I,REAL DATE 01/06/2024. CHANGED FOR ANALYSIS,0:21:24,0:21:24,0:21:24,0:16:57,,,1:21:09,0:05:40,0:15:57,0:59:32,70,100,,3,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,27,0:06:07,0:00:27,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,,,,,,,,,,,,,,,0:00,,,,,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,,,,,,,,,,,,,,,0:00,,,,,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,,,,,,,,,,,,,,,0:00,,,,,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
