#,Date-Time (Indonesia Standard Time),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,Low Power Warning,Safe Shut down Low Battery,Stopped,End of File
1,06/01/2024 07.41.00,28,83,3066,88,,,,,,,
2,06/01/2024 07.46.00,28,78,0,00,,,,,,,
3,06/01/2024 07.51.00,28,87,1,26,,,,,,,
4,06/01/2024 07.56.00,28,91,0,00,,,,,,,
5,06/01/2024 08.01.00,28,91,0,00,,,,,,,
6,06/01/2024 08.06.00,28,95,0,00,,,,,,,
7,06/01/2024 08.11.00,29,00,0,00,,,,,,,
8,06/01/2024 08.16.00,29,04,0,00,,,,,,,
9,06/01/2024 08.21.00,29,08,0,00,,,,,,,
10,06/01/2024 08.26.00,29,08,0,00,,,,,,,
11,06/01/2024 08.31.00,29,04,0,00,,,,,,,
12,06/01/2024 08.36.00,29,13,0,00,,,,,,,
13,06/01/2024 08.41.00,29,13,0,00,,,,,,,
14,06/01/2024 08.46.00,29,08,0,00,,,,,,,
15,06/01/2024 08.51.00,29,13,0,00,,,,,,,
16,06/01/2024 08.56.00,29,17,0,00,,,,,,,
17,06/01/2024 09.01.00,29,17,0,00,,,,,,,
18,06/01/2024 09.06.00,29,21,0,00,,,,,,,
19,06/01/2024 09.11.00,29,17,0,00,,,,,,,
20,06/01/2024 09.16.00,29,17,0,00,,,,,,,
21,06/01/2024 09.21.00,29,26,0,00,,,,,,,
22,06/01/2024 09.26.00,29,26,0,00,,,,,,,
23,06/01/2024 09.31.00,29,34,0,00,,,,,,,
24,06/01/2024 09.36.00,29,30,0,00,,,,,,,
25,06/01/2024 09.41.00,29,34,0,00,,,,,,,
26,06/01/2024 09.46.00,29,34,0,00,,,,,,,
27,06/01/2024 09.51.00,29,34,0,00,,,,,,,
28,06/01/2024 09.56.00,29,43,0,00,,,,,,,
29,06/01/2024 10.01.00,29,43,0,00,,,,,,,
30,06/01/2024 10.06.00,29,43,0,00,,,,,,,
31,06/01/2024 10.11.00,29,47,0,00,,,,,,,
32,06/01/2024 10.16.00,29,51,0,00,,,,,,,
33,06/01/2024 10.21.00,29,51,0,00,,,,,,,
34,06/01/2024 10.26.00,29,56,0,00,,,,,,,
35,06/01/2024 10.31.00,29,51,0,00,,,,,,,
36,06/01/2024 10.36.00,29,60,0,00,,,,,,,
37,06/01/2024 10.41.00,29,64,0,00,,,,,,,
38,06/01/2024 10.46.00,29,68,0,00,,,,,,,
39,06/01/2024 10.51.00,29,68,0,00,,,,,,,
40,06/01/2024 10.56.00,29,73,0,00,,,,,,,
41,06/01/2024 11.01.00,29,77,0,00,,,,,,,
42,06/01/2024 11.06.00,29,77,0,00,,,,,,,
43,06/01/2024 11.11.00,29,86,0,00,,,,,,,
44,06/01/2024 11.16.00,29,81,0,00,,,,,,,
45,06/01/2024 11.21.00,29,90,0,00,,,,,,,
46,06/01/2024 11.26.00,29,94,0,00,,,,,,,
47,06/01/2024 11.31.00,30,03,0,00,,,,,,,
48,06/01/2024 11.36.00,30,07,0,00,,,,,,,
49,06/01/2024 11.41.00,30,07,0,00,,,,,,,
50,06/01/2024 11.46.00,30,16,0,00,,,,,,,
51,06/01/2024 11.51.00,30,16,0,00,,,,,,,
52,06/01/2024 11.56.00,30,28,0,00,,,,,,,
53,06/01/2024 12.01.00,30,33,0,00,,,,,,,
54,06/01/2024 12.06.00,30,37,0,00,,,,,,,
55,06/01/2024 12.11.00,30,50,0,00,,,,,,,
56,06/01/2024 12.16.00,30,54,0,00,,,,,,,
57,06/01/2024 12.21.00,30,59,0,00,,,,,,,
58,06/01/2024 12.26.00,30,67,0,00,,,,,,,
59,06/01/2024 12.31.00,30,76,0,00,,,,,,,
60,06/01/2024 12.36.00,30,84,0,00,,,,,,,
61,06/01/2024 12.41.00,30,97,0,00,,,,,,,
62,06/01/2024 12.46.00,31,01,0,00,,,,,,,
63,06/01/2024 12.51.00,31,14,0,00,,,,,,,
64,06/01/2024 12.56.00,31,23,0,00,,,,,,,
65,06/01/2024 13.01.00,31,36,0,00,,,,,,,
66,06/01/2024 13.06.00,31,49,0,00,,,,,,,
67,06/01/2024 13.11.00,31,57,0,00,,,,,,,
68,06/01/2024 13.16.00,31,66,0,00,,,,,,,
69,06/01/2024 13.21.00,31,74,0,00,,,,,,,
70,06/01/2024 13.26.00,31,79,0,00,,,,,,,
71,06/01/2024 13.31.00,31,87,0,00,,,,,,,
72,06/01/2024 13.36.00,32,00,0,00,,,,,,,
73,06/01/2024 13.41.00,32,13,0,00,,,,,,,
74,06/01/2024 13.46.00,32,17,0,00,,,,,,,
75,06/01/2024 13.51.00,32,22,0,00,,,,,,,
