#,Date-Time (Indonesia Standard Time),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,08/01/2024 08.41.07,27,80,783,36,,,,
2,08/01/2024 08.46.07,27,28,2835,20,,,,
3,08/01/2024 08.51.07,27,54,7229,44,,,,
4,08/01/2024 08.56.07,27,50,3063,04,,,,
5,08/01/2024 09.01.07,27,37,4243,20,,,,
6,08/01/2024 09.06.07,27,71,8686,08,,,,
7,08/01/2024 09.11.07,27,75,8046,08,,,,
8,08/01/2024 09.16.07,27,58,3767,04,,,,
9,08/01/2024 09.21.07,27,37,1788,80,,,,
10,08/01/2024 09.26.07,27,37,2978,56,,,,
11,08/01/2024 09.31.07,27,32,2195,20,,,,
12,08/01/2024 09.36.07,27,63,5524,48,,,,
13,08/01/2024 09.41.07,27,45,1616,00,,,,
14,08/01/2024 09.46.07,27,50,3557,12,,,,
15,08/01/2024 09.51.07,27,45,1434,88,,,,
16,08/01/2024 09.56.07,27,93,8028,16,,,,
17,08/01/2024 10.01.07,28,27,10869,76,,,,
18,08/01/2024 10.06.07,28,61,11863,04,,,,
19,08/01/2024 10.11.07,28,57,8478,72,,,,
20,08/01/2024 10.16.07,28,78,11852,80,,,,
21,08/01/2024 10.21.07,28,65,9031,68,,,,
22,08/01/2024 10.26.07,28,70,9896,96,,,,
23,08/01/2024 10.31.07,28,74,9684,48,,,,
24,08/01/2024 10.36.07,28,87,10444,80,,,,
25,08/01/2024 10.41.07,28,95,10992,64,,,,
26,08/01/2024 10.46.07,29,13,10813,44,,,,
27,08/01/2024 10.51.07,29,21,10129,92,,,,
28,08/01/2024 10.56.07,29,30,9917,44,,,,
29,08/01/2024 11.01.07,29,38,9059,84,,,,
30,08/01/2024 11.06.07,29,47,8007,68,,,,
31,08/01/2024 11.11.07,29,56,7068,16,,,,
32,08/01/2024 11.16.07,29,68,6609,92,,,,
33,08/01/2024 11.21.07,29,94,6504,96,,,,
34,08/01/2024 11.26.07,30,20,6679,04,,,,
35,08/01/2024 11.31.07,30,46,6635,52,,,,
36,08/01/2024 11.36.07,31,10,10849,28,,,,
37,08/01/2024 11.41.07,31,61,13117,44,,,,
38,08/01/2024 11.46.07,32,34,13808,64,,,,
39,08/01/2024 11.51.07,32,60,14382,08,,,,
40,08/01/2024 11.56.07,33,37,14714,88,,,,
41,08/01/2024 12.01.07,33,50,15027,20,,,,
42,08/01/2024 12.06.07,33,63,14597,12,,,,
43,08/01/2024 12.11.07,33,76,13972,48,,,,
44,08/01/2024 12.16.07,34,15,13603,84,,,,
45,08/01/2024 12.21.07,34,49,12938,24,,,,
46,08/01/2024 12.26.07,34,88,12339,20,,,,
47,08/01/2024 12.31.07,35,30,11432,96,,,,
48,08/01/2024 12.36.07,35,52,9996,80,,,,
49,08/01/2024 12.41.07,35,95,8593,92,,,,
50,08/01/2024 12.46.07,36,12,7521,28,,,,
51,08/01/2024 12.51.07,35,90,6597,12,,,,
52,08/01/2024 12.56.07,36,21,5839,36,,,,
53,08/01/2024 13.01.07,36,33,5175,04,,,,
54,08/01/2024 13.06.07,36,33,4623,36,,,,
55,08/01/2024 13.11.07,36,51,4170,24,,,,
56,08/01/2024 13.16.07,36,38,3787,52,,,,
57,08/01/2024 13.21.07,36,38,3498,24,,,,
58,08/01/2024 13.26.07,36,12,3274,24,,,,
59,08/01/2024 13.31.07,36,21,3095,04,,,,
60,08/01/2024 13.36.07,36,12,2941,44,,,,
61,08/01/2024 13.41.07,35,86,2808,32,,,,
62,08/01/2024 13.46.07,35,52,2741,76,,,,
63,08/01/2024 13.51.07,35,43,2667,52,,,,
64,08/01/2024 13.56.07,35,35,2635,52,,,,
65,08/01/2024 14.01.07,35,30,2600,96,,,,
66,08/01/2024 14.06.07,35,35,2587,52,,,,
67,08/01/2024 14.11.07,35,26,2557,44,,,,
68,08/01/2024 14.16.07,35,30,2484,48,,,,
69,08/01/2024 14.21.07,35,05,2464,64,,,,
70,08/01/2024 14.26.07,34,96,2414,72,,,,
71,08/01/2024 14.31.07,34,88,2374,40,,,,
72,08/01/2024 14.36.07,34,79,2293,12,,,,
73,08/01/2024 14.41.07,34,62,2154,88,,,,
74,08/01/2024 14.46.07,34,23,1896,96,,,,
75,08/01/2024 14.51.07,33,72,1740,80,,,,
76,08/01/2024 14.56.07,33,29,1616,00,,,,
77,08/01/2024 15.01.07,32,94,1516,80,,,,
78,08/01/2024 15.06.07,32,64,1513,60,,,,
79,08/01/2024 15.11.07,32,34,1313,92,,,,
80,08/01/2024 15.16.07,32,17,1257,28,,,,
81,08/01/2024 15.21.07,32,00,1192,32,,,,
82,08/01/2024 15.26.07,31,92,1140,80,,,,
83,08/01/2024 15.31.07,31,66,1108,16,,,,
84,08/01/2024 15.36.07,31,61,1071,68,,,,
85,08/01/2024 15.41.07,31,49,1361,92,,,,
86,08/01/2024 15.46.07,31,40,1298,88,,,,
87,08/01/2024 15.51.07,31,44,1179,84,,,,
88,08/01/2024 15.56.07,31,40,1810,56,,,,
89,08/01/2024 16.01.07,31,14,986,88,,,,
90,08/01/2024 16.06.07,30,93,953,60,,,,
91,08/01/2024 16.11.07,30,76,894,40,,,,
92,08/01/2024 16.16.07,30,63,891,84,,,,
93,08/01/2024 16.21.07,30,54,934,40,,,,
94,08/01/2024 16.26.07,30,37,825,28,,,,
95,08/01/2024 16.31.07,30,16,803,84,,,,
96,08/01/2024 16.36.07,30,03,785,92,,,,
97,08/01/2024 16.41.07,29,90,763,20,,,,
98,08/01/2024 16.46.07,29,77,760,32,,,,
99,08/01/2024 16.51.07,29,60,678,40,,,,
100,08/01/2024 16.56.07,29,51,641,44,,,,
101,08/01/2024 17.01.07,29,34,618,24,,,,
102,08/01/2024 17.06.07,29,26,576,96,,,,
103,08/01/2024 17.11.07,29,17,546,72,,,,
104,08/01/2024 17.16.07,29,00,503,36,,,,
105,08/01/2024 17.21.07,29,00,460,48,,,,
106,08/01/2024 17.26.07,28,83,419,52,,,,
107,08/01/2024 17.31.07,28,70,376,64,,,,
108,08/01/2024 17.36.07,28,61,332,32,,,,
109,08/01/2024 17.41.07,28,53,275,44,,,,
110,08/01/2024 17.46.07,28,40,223,36,,,,
111,08/01/2024 17.51.07,28,31,169,12,,,,
112,08/01/2024 17.56.07,28,18,113,76,,,,
113,08/01/2024 18.01.07,28,18,68,22,,,,
114,08/01/2024 18.06.07,28,05,32,66,,,,
115,08/01/2024 18.11.07,27,97,15,03,,,,
116,08/01/2024 18.16.07,27,97,5,61,,,,
117,08/01/2024 18.21.07,27,97,1,24,,,,
118,08/01/2024 18.26.07,27,97,0,00,,,,
119,08/01/2024 18.31.07,27,88,0,00,,,,
120,08/01/2024 18.36.07,27,84,0,00,,,,
121,08/01/2024 18.41.07,27,80,0,00,,,,
122,08/01/2024 18.46.07,27,71,0,00,,,,
123,08/01/2024 18.51.07,27,63,0,00,,,,
124,08/01/2024 18.56.07,27,54,0,00,,,,
125,08/01/2024 19.01.07,27,50,0,00,,,,
126,08/01/2024 19.06.07,27,45,0,00,,,,
127,08/01/2024 19.11.07,27,41,0,00,,,,
128,08/01/2024 19.16.07,27,20,0,00,,,,
129,08/01/2024 19.21.07,27,24,0,00,,,,
130,08/01/2024 19.26.07,27,24,0,00,,,,
131,08/01/2024 19.31.07,27,20,0,00,,,,
132,08/01/2024 19.36.07,27,11,0,00,,,,
133,08/01/2024 19.41.07,27,07,0,00,,,,
134,08/01/2024 19.46.07,27,02,0,00,,,,
135,08/01/2024 19.51.07,27,07,0,00,,,,
136,08/01/2024 19.56.07,26,98,0,00,,,,
137,08/01/2024 20.01.07,27,02,0,00,,,,
138,08/01/2024 20.06.07,27,02,0,00,,,,
139,08/01/2024 20.11.07,27,07,0,00,,,,
140,08/01/2024 20.16.07,27,11,0,00,,,,
141,08/01/2024 20.21.07,27,15,0,00,,,,
142,08/01/2024 20.26.07,27,15,0,00,,,,
143,08/01/2024 20.31.07,27,07,0,00,,,,
144,08/01/2024 20.36.07,27,02,0,00,,,,
145,08/01/2024 20.41.07,26,94,0,00,,,,
146,08/01/2024 20.46.07,26,90,0,00,,,,
147,08/01/2024 20.51.07,26,85,0,00,,,,
148,08/01/2024 20.56.07,26,85,0,00,,,,
149,08/01/2024 21.01.07,26,90,0,00,,,,
150,08/01/2024 21.06.07,26,90,0,00,,,,
151,08/01/2024 21.11.07,26,85,0,00,,,,
152,08/01/2024 21.16.07,26,81,0,00,,,,
153,08/01/2024 21.21.07,26,85,0,00,,,,
154,08/01/2024 21.26.07,26,90,0,00,,,,
155,08/01/2024 21.31.07,26,90,0,00,,,,
156,08/01/2024 21.36.07,26,85,0,00,,,,
157,08/01/2024 21.41.07,26,81,0,00,,,,
158,08/01/2024 21.46.07,26,77,0,00,,,,
159,08/01/2024 21.51.07,26,77,0,00,,,,
160,08/01/2024 21.56.07,26,77,0,00,,,,
161,08/01/2024 22.01.07,26,72,0,00,,,,
162,08/01/2024 22.06.07,26,77,0,00,,,,
163,08/01/2024 22.11.07,26,72,0,00,,,,
164,08/01/2024 22.16.07,26,68,0,00,,,,
165,08/01/2024 22.21.07,26,64,0,00,,,,
166,08/01/2024 22.26.07,26,68,0,00,,,,
167,08/01/2024 22.31.07,26,64,0,00,,,,
168,08/01/2024 22.36.07,26,64,0,00,,,,
169,08/01/2024 22.41.07,26,64,0,00,,,,
170,08/01/2024 22.46.07,26,64,0,00,,,,
171,08/01/2024 22.51.07,26,72,0,00,,,,
172,08/01/2024 22.56.07,26,64,0,00,,,,
173,08/01/2024 23.01.07,26,64,0,00,,,,
174,08/01/2024 23.06.07,26,68,0,00,,,,
175,08/01/2024 23.11.07,26,68,0,00,,,,
176,08/01/2024 23.16.07,26,68,0,00,,,,
177,08/01/2024 23.21.07,26,72,0,00,,,,
178,08/01/2024 23.26.07,26,81,0,00,,,,
179,08/01/2024 23.31.07,26,94,0,00,,,,
180,08/01/2024 23.36.07,27,02,0,00,,,,
181,08/01/2024 23.41.07,27,15,0,00,,,,
182,08/01/2024 23.46.07,27,24,0,00,,,,
183,08/01/2024 23.51.07,27,28,0,00,,,,
184,08/01/2024 23.56.07,27,41,0,00,,,,
185,08/02/2024 00.01.07,27,63,0,00,,,,
186,08/02/2024 00.06.07,27,75,0,00,,,,
187,08/02/2024 00.11.07,27,88,0,00,,,,
188,08/02/2024 00.16.07,27,97,0,00,,,,
189,08/02/2024 00.21.07,28,18,0,00,,,,
190,08/02/2024 00.26.07,28,27,0,00,,,,
191,08/02/2024 00.31.07,28,40,0,00,,,,
192,08/02/2024 00.36.07,28,53,0,00,,,,
193,08/02/2024 00.41.07,28,53,0,00,,,,
194,08/02/2024 00.46.07,28,57,0,00,,,,
195,08/02/2024 00.51.07,28,61,0,00,,,,
196,08/02/2024 00.56.07,28,61,0,00,,,,
197,08/02/2024 01.01.07,28,57,0,00,,,,
198,08/02/2024 01.06.07,28,48,0,00,,,,
199,08/02/2024 01.11.07,28,44,0,00,,,,
200,08/02/2024 01.16.07,28,48,0,00,,,,
201,08/02/2024 01.21.07,28,48,0,00,,,,
202,08/02/2024 01.26.07,28,61,0,00,,,,
203,08/02/2024 01.31.07,28,61,0,00,,,,
204,08/02/2024 01.36.07,28,57,0,00,,,,
205,08/02/2024 01.41.07,28,57,0,00,,,,
206,08/02/2024 01.46.07,28,53,0,00,,,,
207,08/02/2024 01.51.07,28,53,0,00,,,,
208,08/02/2024 01.56.07,28,44,0,00,,,,
209,08/02/2024 02.01.07,28,40,0,00,,,,
210,08/02/2024 02.06.07,28,44,0,00,,,,
211,08/02/2024 02.11.07,28,40,0,00,,,,
212,08/02/2024 02.16.07,28,31,0,00,,,,
213,08/02/2024 02.21.07,28,31,0,00,,,,
214,08/02/2024 02.26.07,28,27,0,00,,,,
215,08/02/2024 02.31.07,28,31,0,00,,,,
216,08/02/2024 02.36.07,28,27,0,00,,,,
217,08/02/2024 02.41.07,28,27,0,00,,,,
218,08/02/2024 02.46.07,28,27,0,00,,,,
219,08/02/2024 02.51.07,28,18,0,00,,,,
220,08/02/2024 02.56.07,28,18,0,00,,,,
221,08/02/2024 03.01.07,28,18,0,00,,,,
222,08/02/2024 03.06.07,28,10,0,00,,,,
223,08/02/2024 03.11.07,28,10,0,00,,,,
224,08/02/2024 03.16.07,28,14,0,00,,,,
225,08/02/2024 03.21.07,28,10,0,00,,,,
226,08/02/2024 03.26.07,28,18,0,00,,,,
227,08/02/2024 03.31.07,28,23,0,00,,,,
228,08/02/2024 03.36.07,28,23,0,00,,,,
229,08/02/2024 03.41.07,28,27,0,00,,,,
230,08/02/2024 03.46.07,28,23,0,00,,,,
231,08/02/2024 03.51.07,28,23,0,00,,,,
232,08/02/2024 03.56.07,28,31,0,00,,,,
233,08/02/2024 04.01.07,28,23,0,00,,,,
234,08/02/2024 04.06.07,28,27,0,00,,,,
235,08/02/2024 04.11.07,28,31,0,00,,,,
236,08/02/2024 04.16.07,28,27,0,00,,,,
237,08/02/2024 04.21.07,28,27,0,00,,,,
238,08/02/2024 04.26.07,28,31,0,00,,,,
239,08/02/2024 04.31.07,28,27,0,00,,,,
240,08/02/2024 04.36.07,28,27,0,00,,,,
241,08/02/2024 04.41.07,28,23,0,00,,,,
242,08/02/2024 04.46.07,28,23,0,00,,,,
243,08/02/2024 04.51.07,28,14,0,00,,,,
244,08/02/2024 04.56.07,28,05,0,00,,,,
245,08/02/2024 05.01.07,28,01,0,00,,,,
246,08/02/2024 05.06.07,28,01,0,00,,,,
247,08/02/2024 05.11.07,27,97,0,00,,,,
248,08/02/2024 05.16.07,28,01,0,00,,,,
